0,1,2,3,4,5,6,7,8,9,SourceFile,TableIndex,10,11,12
ANCIPA,TROINA,"30,40","16,13","18,31","-2,18","13,80",IRR. - POT. - ELETTR.,E.N.E.L.,,2023.10.01_A_Tabella_volumi_invasi.pdf,0,,,
ANCIPA,TROINA,"30,40","11,28","10,96","0,32","22,68",IRR. - POT. - ELETTR.,E.N.E.L.,,Prospetto%20volumi%20invasi%20Gennaio%202023.pdf,0,,,
ANCIPA,TROINA,"30,40","13,40","12,52","0,88","22,01",IRR. - POT. - ELETTR.,E.N.E.L.,,2023.03.01_A_Tabella_volumi_invasi.pdf,0,,,
ANCIPA,TROINA,"30,40","25,45","16,69","8,76","23,06",IRR. - POT. - ELETTR.,E.N.E.L.,,2023.05.01_A_Tabella_volumi_invasi.pdf,0,,,
ANCIPA,TROINA,"30,40","12,52","11,28","1,24","22,88",IRR. - POT. - ELETTR.,E.N.E.L.,,Prospetto%20volumi%20invasi%20Febbraio%202023.pdf.pdf,0,,,
ANCIPA,TROINA,"30,40","20,49","26,03","-5,54","19,50",IRR. - POT. - ELETTR.,E.N.E.L.,,PROSPETTO%20VOLUMI%20INVASATI%20NELLE%20DIGHE%20AGOSTO%202023.pdf,0,,,
ANCIPA,TROINA,30.40,26.47,25.45,1.02,23.36,IRR. - POT. - ELETTR.,E.N.E.L.,,2023.06.01_A_Tabella_volumi_invasi.pdf,0,,,
ANCIPA,TROINA,"30,40","11,86","13,86","-2,00","10,96",IRR. - POT. - ELETTR.,E.N.E.L.,,2023.12.01_A_Tabella_volumi_invasi.pdf,0,,,
ANCIPA,TROINA,"30,40","7,79","9,91","-2,12","7,04",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-10.pdf,0,,,
ANCIPA,TROINA,"30,40","8,61","7,39","1,22","16,03",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-02.pdf,0,,,
ANCIPA,TROINA,"30,40","26,68","22,25","4,43","25,60",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-05.pdf,0,,,
ANCIPA,TROINA,"30,40","5,95","7,79","-1,84","5,14",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-11.pdf,0,,,
ANCIPA,TROINA,"30,40","22,25","13,71","8,54","24,61",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-04.pdf,0,,,
ANCIPA,TROINA,"30,40","7,39","3,59","3,80","0,20",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-01.pdf,0,,,
ANCIPA,TROINA,"30,40","26,01","26,68","-0,67","23,42",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-06.pdf,0,,,
ANCIPA,TROINA,"30,40","9,91","14,24","-4,33","9,17",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-09.pdf,0,,,
ANCIPA,TROINA,"30,40","14,24","22,91","-8,67","11,45",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-08.pdf,0,,,
ANCIPA,TROINA,"30,40","13,71","8,61","5,10","23,85",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-03.pdf,0,,,
ANCIPA,TROINA,"30,40","6,21","5,95","0,26","3,59",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-12.pdf,0,,,
ANCIPA,TROINA,"30,40","22,91","26,01","-3,10","18,94",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-07.pdf,0,,,
ANCIPA,TROINA,"30,40","25,36","25,60","-0,24","20,49",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2016-06.pdf,0,,,
ANCIPA,TROINA,"30,40","3,53","4,83","-1,30","12,48",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2016-12.pdf,0,,,
ANCIPA,TROINA,"30,40","8,87","11,23","-2,36","9,18",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2016-09.pdf,0,,,
ANCIPA,TROINA,"30,40","16,93","17,38","-0,45","26,15",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2016-03.pdf,0,,,
ANCIPA,TROINA,"30,40","25,49","16,93","8,56","26,41",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2016-04.pdf,0,,,
ANCIPA,TROINA,"30,40","25,60","25,49","0,11","21,00",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2016-05.pdf,0,,,
ANCIPA,TROINA,"30,40","4,83","6,79","-1,96","7,74",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2016-11.pdf,0,,,
ANCIPA,TROINA,"30,40","17,38","13,99","3,39","19,11",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2016-02.pdf,0,,,
ANCIPA,TROINA,"30,40","6,79","8,87","-2,08","7,41",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2016-10.pdf,0,,,
ANCIPA,TROINA,"30,40","13,99","12,48","1,51","7,07",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2016-01.pdf,0,,,
ANCIPA,TROINA,"30,40","11,23","19,40","-8,17","11,43",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2016-08.pdf,0,,,
ANCIPA,TROINA,"30,40","19,40","25,36","-5,96","13,30",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2016-07.pdf,0,,,
ANCIPA,TROINA,"30,40","15,71","9,83","5,88","20,16",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2020-01_0.pdf,0,,,
ANCIPA,TROINA,"30,40","22,01","20,81","1,20","16,46",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2020-05_0.pdf,0,,,
ANCIPA,TROINA,"30,40","20,55","22,01","-1,46","17,18",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2020-06_0.pdf,0,,,
ANCIPA,TROINA,"30,40","15,73","15,71","0,02","23,79",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2020-02_0.pdf,0,,,
ANCIPA,TROINA,"30,40","8,18","10,26","-2,08","6,91",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2020-11_1.pdf,0,,,
ANCIPA,TROINA,"30,40","6,44","8,18","-1,74","9,83",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2020-12_0.pdf,0,,,
